PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;41;Deare doe not your faire bewty wrounge;;pp. 1-40 songs with staff;OT;;C;"[,dda{a}2] [,aa,c] | [,,ba,d1] {a} [,cdca2] | [,dda{a}2] [,dda] | \
[a,d,e1] [,dda/] ,,,,d [,db,'c] ,,,,a ,,,,,d1 | [,dda{a}3] [,dda1] | \
[,dda{a}2] [,bdca] | [,,bcd1] ',,,,a/ ,,,,a [,ab,,d2] |";
2;;42;O let us howle some heavy note;;;OT;;C;"[,abc4] | [aabcca4] | [aacc3] ,,,,,a1 | [aa,c,2] [,,dca] | \
[,bdca2] [,,dca1] [,abc] | [,aa,c2] {,,,a} | [,aa,c2] {,,,a} | \
[,df,c1] ,,,,e ,,,a ,,,,a/ ,,,,,d |";
3;;43;Like to the damaske rose you see;;"p. 44 Staff; p. 45 missing, p. 46 Staff; ppp. 47-48 missing; p. 49-51 Staff";OT;;C;"[,dda{a}2] [,dda3/2] ,,,,e/ | [,db,c1] ,,a [acdca] {,,,a} | \
[acdca2] [,dda{a}] | [,aba,d4] | [,aba,d3/2] ,,,,,c/ [,abc,a2] | \
[,dda{a}2] [,dda] | [acdca1] {,,,a} [acdca2] | \
[,cdca1] ,,,,,a [,cdca2] |";
4;;52;Cloris sighte, and sange, and wepte;;;OT;;C;"[,,dca2] {,,,a} | [,bdca2] [abdca] | [aacc1] ,,,,,a [abbcd2] | \
[abbcd2] [,daa] | [aacc1] ,,,,,a ',,,c3/2 ,,,a/ | \
[abbcd2] [,da,c] | [,bdca2] [,aba,d] | \
[,,d'c,b3/2] ,,,a/ [aacc,a2] |";
5;;53;Come sorrowe sitt downe by this tree;;p. 54a-54b Staff;OT;;C;"[,acc,a2] [aacc] | [,,dca2] [,dd,,c] | [,a,,,a1] ,,d/4 ,a ,,d/ ,,,,a1 {,,,a} | \
[,acc,a2] [,aacc] | {,,a}2 [aacc] | [,aa,c2] [,dd,,c] | \
[,dd,,c2] [,acc,a] |";
6;;55;O where am I, what may I thinke;;;Viol?;;C;",,d4 ,,,c4 | [,,,ca2] [,,aa] [,,aa] [,,,ca] | \
[,,,ca2] [,,,ca] ,,,c1 {a}2 ,,,c1 | \
,,,,c1 ,,,,c2 {a} ,,,c/ ,,,a ,,,,e ,,,,c ,,,,a2 ,,,,a |";french5tab
7;;56;Cupid is Venus only ioy;;;OT;;C;"[,dda2] ,,,,e1 ,,,,a | [,adc,a1] ,,c | [,cdca2] [,dda{a}] | \
[,ab,,d2] | [,,dca2] {,,,a} | [,dda1] {a} [,adc,a3/2] ,,c/ | \
[,cdca2] {,,,a} | [ad,,e] | [,dda2] [,adc,a] |";
8;;57;Wherefore peepst thou enuious day?;;;Viol?;;C;"[,cd2] ,,d1 ,,d2 [,,da1] | [,,cc2] [,,,ca] | ,,d1 ,,c ,,d ,a | \
[,,cc2] ,,,c | ,,,c1 ,,,a ,,,c ,,d ,,a [,,cc2] |";french5tab
9;;58;You herralds of Mrs hart;;;Viol?;;C;"[,,bc1] ,,,c | {a}3/2 ,,,c/ ,a ,,d ,,b1 ,,a/ ,,d ,,b ,,a | \
,,,c3/2 ,,,a/ | ,,,,d/ ,,,,c [,,,ca1] [,,,bc] ,,,,c | \
,,,,c2 ,,,,c |";french5tab
10;;59;Get you hence for I must goe;;p. 61 Staff;Viol?;;C;"[,,hc4] [,,bc] | [,,,cd4] [,,,bc1] ,,,,c3 | \
,,,,c4 ,,,,c2 [,,,cc{a}] | [,,,cc2] [,,,hc] ,,,c1 {a}3 | \
,,,,c4 {a} | ,,,,c4 [,,cc] | ,,,,c4 ,,,,c2 ,,,,c1 ,,,,a |";french5tab
