PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;C dur;1v;Allamand;Losy;;;Conc_2876;C;",,d/ | [,,dcc{4}/] ,,,,,d [,,,cc/4] ,,d ,a ,c \
[aa,,,d] ,,,,,d ,,,,,c ,,,,,a ,,,,,c ,a c a | \
[,cd,,d/4] ,,,,a ,,,,c ,,,,d [,,cc] ,a ,c ,a"
2;C dur;2v;Endree;;;;Conc_4066;C;",,d/ | [,,dcc{4}1] c ,c ,,d | [aad,,d1] ,a [ca,,,c/] c | \
[cc,,,d1] ,,,,,d/ ,,,,,b [ada,,a1] [c{a}] | \
[edd{,a}2] [,aa{,b}1]> ,a | [,a{a}1] [,,Xc/] {,a} \
[,,dc{,,a}1] [,ac{,,,a}] | [,cdc{4}1]>"
3;C dur;3v;Echo;Losy/Hinterleithner?;;;Conc_3762;C;",,d/ ,a | [,cd,,d1] [,ad{,a}] [,Xac{a}3/2] ,,d/4 ,a | \
[,,d,,d1] {4} ,,d :||: [,a,,,c1] | [,c,,,d1] [,a,,,c] \
[,c,,,d] [,e,,,a] | [c,c{a}1] ,,,c [ca] :||: [e,,,e1] | \
[g,,,f1] [e,,,e] [g,,,f] [h,,e] | "
4;C dur;4v;Aria;;;;;C;"[,,dccd1] {4}/ ,,d [,ad,,c] {a}/ ,a | \
[,c,,,d1] {4}/ a [,acc{a}1] {a}/ {,a} | \
[,,dc{,,a}/] ,a ,,d ,,b [,,aad{,a}] ,,c ,,d ,a | "
5;C dur;5r;Menue;Losy;;;Conc_1221;3;"[,,Xd{4}1]> {a} [,,d,,d1] | [,ad,,c1] {a} [,a,,,c] | \
[,c,,,d1] (,d/ ,c) ,a ,,d | ([,,c{a}/] ,,a) (,,,c ,,,a) \
(,,,,c ,,,,a) | [,,Xd{4}1]> {a} [,,d,,d1] | [,ad,,c1] \
{a} [,a,,,c] | "
6;C dur;5v;Bouree;;;;;C;"c1 | [,Xc1]> ,,d [,,Xc1]> {a} | [,,d{,,a}1] {4} [,a,,,c] {a} | \
[,c,,,d1] [,a,,,c] [,c,,,d] [,e,,,a] | [cac{a}1] \
{a}/ ,,,,,a [ca,,,c1] [e,,,,a] | "
7;C dur;6r;Prelud:;;;;;;"[ccdccd/] c ,c c ,,d ,c ,,,d ,,c ,,,,c ,,,c ,,,,,d ,,,,c \
{4} ,,,,,c ,a c {a} ,,,,,a ,,d a"
8;C dur;6v;Menue;Losy;;;Conc_524;3;"[h{4}1] ,f ,,h | [,a,c,c1] {a} {,,,a} | V[,,d{,,a}1] \
[,a{,a}/] ,c ,a ,,d | (,,c/ ,,a) (,,,c ,,,a) ,,,,c ,,,,a | \
[h{4}1] ,f ,,h | "
9;C dur;7v;Rondeau;;;;;3;",,,c1 ,,,,c ,,,,,d | [,a,,,c1] [c{a}/] a [,c,,,d1] | \
[a,,,a1] [c,,,c] [e,,,d] | [,Xa{a}/] ,,d ,a ,c ,a1 | \
,,,c1 ,,,,c ,,,,,d | [,a,,,c1] [c{a}/] a [,c,,,d] a | "
10;C dur;8v;sans titre;Losy;(Sarabande);;Conc_2931;3;"[h,h{4}/] [cc] | [aa,,,d1]> a [cac,,c1] ,a | [,cdccd1] \
{4} [ca,,,c/]> c | [Xc,d,,a1] ,d [,daa{,,,a}/]> ,d | \
[,dcc{a}1] [,Xc] [,cd{4}/]> ,c | [eca{,a}1]> ,a \
[ccf{,,a}/]> [e,e] | "
