PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;for Mandora;1r;sans titre;;;;;C;"[,'e,a3/2] ,c/ [,a,Ve1] a |\
['a,,,e3/2] ,f/ [,'e,a3/2] ,f/ |\
a/ ,f ',e1 V[,f,c/] a [,e,a] ,f |\
[,'c,,a3/2] (,a/4 ,,e) ,a1 ,,a :|";french5tab
2;for Mandora;1v;sans titre;;;;Conc_1050;3;"[,eaa1] [,eaa] [,eaa] |\
[,'eaa3/2] ,c/ ,a1 |\
,a/ ,c ,e ,f a1 |\
[,'e,a2] ,c1 |\
,,a1 ,c ,,,,a |\
',c3/2 ,a/4 ,c [,e,a1] |";french5tab
3;for Mandora;2r;sans titre;Gaultier;Privé de deux beaux yeux;;;3;",e1 |\
[,eaa3/2] ,f/ ,e1 |\
,,a1 ',c3/2 (,a/4 ,,e) |\
,a1 ,,,a ,,a |\
,a3/2 ,c/ ,c ,e |\
,f1 (,,,c/ ,a ,f ,e) |";french5tab
4;for Mandora;2v;sans titre;;prelude?;;;none;",,,a1 ,,,,a2 (,,,a/8 ,,,c ,,,e ,,,d) ,,a1 ,,,a2 (,,a/4 ,,c ,,e)\
(,a ,c ,e ,f) a3/2 ,f/ ',e1 ,,,a ',c3/2 ,a/ V,c1";french5tab
5;for Mandora;3v;sans titre;;;;;C;"a/ |\
[aa,a3/2] c/ [,fcc3/2] a/ |\
[,eaa2] (,a/8 ,c ,e ,f) a1 |\
[,a,,c1] [,c,,e] [,'e,a3/2] ,c/ |\
[,'ca3] [a,,e1] |\
[cc,'c3/2] c/ V[f,,a1] [h,,,a/] f |";french5tab
6;for Mandora;4v;sans titre;;;;;C;"[,eaa1] [,eaa/] ,c ,e ,f a1 |\
[,f,c/] a [,'e,a] ,c [,ca3/2] ,c/ |\
[,c,g/] ,c [,ca] ,c [,c,,a] [,c,f] V[,e,e1] |";french5tab
7;for Mandora;5v;sans titre;;;;;C;"[,'e,a3/2] ,c/ ,e ,f [a,,e1] |\
[,a,,c1] [,,'e,a/] ,a [,c,f1] [,,ae] |\
[,ac,c2] [,c,,e/] ,e [,f,,c] a |\
[,aaa4] ||";french5tab
8;for Mandora;6v;sans titre;;;;;3;"[,aaa1] [,aaa] [,'a,,c/] ,c |\
[,eaa1] [,eaa] [,'e,,c/] ,f |\
[a,,,a1] [ace] [a,,,e/] ,f |\
[,'e,a1] [,ef] [,e,,c/] ,c |";french5tab
9;for Mandora;7v;sans titre;;;;;3;",a/ ,a |\
[,aaa2] [,c,,,a1] |\
V[,eaa2] [,'e,,a/] ,f |\
[ac,,a3/2] [c,,f/] ['a,,e1] |\
[,aaa1] [,aaa] [,'ce,a] |\
V[,eaa2] || [,'e,a/] ,f |\
a1 ,,,,e/ c [a,,e1] |";french5tab
10;for Mandora;8v;sans titre;;;;;3;",,a1 |\
[,a,a3/2] ,c/ V,d1 |\
[,'c,f2] ,a1 |\
[,,'e,a3] |\
,,a3 |\
[,d,a3/2] ,f/ ,d1 |\
[,f,,d3/2] ,f/ ,,,,b1 |\
[ace,a3] |\
c2 || a1 |\
[a,,a3/2] ,f/ a1 |";french5tab
