PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;a moll;1;Volte d lespine;;;OT;ConcR1487;3;",,a/ ,,c ,,d1 [,,c,,b] | \
[,,a,,c2] ,,,,,e1 | \
,,,,a1 [,,aac2] | \
[,,cde2] {,a}1 | \
,,d/ ,a ,c ,,,,a [,d,,c1] | \
[a,,,e1] ,,d [,d,,c/] a |"
2;a moll;2;sans titre;;;OT;Conc_274;3;"[,cde1] c [e,,d] | \
[f,,e3/2] h/ f h | \
[e,,,e1] ,h [eg] | \
[,ccd,,c1] ,,,e [ccd] | \
[,,ae1] ,,c ,,,d | \
[,,de1] [,c{,a}] ,d/ ,c |"
3;a moll;3;sans titre;;;OT;;3;"c1 | \
[ccdeec2] a1 | \
[aa,,,e1] ,,,,a/ c [,da,c1] | \
[,cd,a1] {,,,a} ,,,,a | \
[acd2] ,d/ a | \
[,da{,,a}1] ,,c [,cd{,a}] | \
[,,aa{a}1] ,a3/2 ,,d/4 ,a |"
4;a moll;4;sans titre;;;OT;;3;",,h1 | \
,,d1 ,,,e [,a,c] | \
,c1 [,,aa] ,a | \
,c1 {,a} ,,,,e | \
[,ccd2] ,a/ ,,d | \
,,c1 ,,,,c [,,a,a] | \
,,,,,e1 ,,,d [,,a,,c/] ,,c |"
5;a moll;5;sans titre;;;OT;;3;"e1 | \
[,cc,e1] {,a}/ ,e a c | \
e1 [,e,,,e3/2] ,,h/4 ,e | \
,,h1 {,a} ,,,,e | \
[,cc2] c/ e | \
[fc,,,c1] ,c/ ,e ,f c |"
6;F dur;5;sans titre;;Fragment;OT;;3;"d1 c2 | \
a1 ,d2 | \
a1 c2 | \
d1 c2 | \
a1 ,d2 | \
,c ,a2 | \
a1 ,d2 || \
h1 f2 | \
d1 c2 |"
7;F dur;5;sans titre;;Fragment;OT;;C;"c/ d d c a ,d a c | \
d2 ,d/ f d c c a | \
h/ f f d c2 |"
8;a moll;6;sans titre;;;OT;;3;",c1 | \
[,cde3/2] ,,,c/ ,,,a1 | \
[a,d,e1] [cd,,c] e | \
[fcd,a1] {,,,a} ,,,,a | \
[fcd1] ,,,,e3/2 ,,,a/4 ,,,,c | \
,,,e1 {a}/ ,,,c ,,,a ,,,,e |"
9;D dur;7;sans titre;Gaultier?;;OT;Conc_4377;C;"a/ | \
[acd,a3/2] a/ [c{a}] c [e,,,,a3/4] f/4 | \
[f,,,a/] {,,,a} a3/4 ,d/4 [,c,,a/] ,,d a ,,,,,e | \
[ccd,,c3/2] a/ [,da,c] {,,a} ,a ,,d/4 ,a |"
10;c moll;7;sans titre;;;OT;;C;"[,,dc{,,,a}2] ,c1 [ac/] [ac] | \
f1 {a}/ f [ea,,,a3/2] e/ | \
f1 ,,,,a/ ,,,,c ,,,,d a a c | \
[d,,,d/] {,a} d a {a} b a ,d |"
11;D dur;8;sans titre;;crossed out;OT;Conc_4377;C;"a1 | \
[acd,a3/2] a/ [c{a}] c [e,,,,a3/4] f/4 | \
[f,,,a/] {,,,a} a3/4 ,d/4 [,c,,a/] ,,d a ,,,,,e | \
[ccd,,c3/2] a/ [,da,c] {,,a} ,a ,,d/4 ,a |"
12;D dur;8;sans titre;;;OT;;C;"[,cdca1] {,,,a}/ ,d a ,,,,,e [ccd,,c1] | \
[ea,,,a/] c/4 e f/ {a} {,a} a [f,,,a] e | \
[cdda{a}1] h/ {,a} {,,a} f [ea,,,a] c/4 e |"
13;d moll;9;sans titre;;;OT;;3;",a1 | \
[,aaa{,,a}3/2] ,c/ ,d a | \
c3/2 ,,a/ ,,c ,,e | \
[,af1] {,,a}/ ,c ,a ,c | \
,d1 ,,f [a,d/] ,,c | \
[c,a3/2] a/ c e |"
14;D dur;10;Courante L'Espine;;;OT;;3;"c1 | \
[caa,c3/2] a/ ,d ,c | \
,d/ ,,,,c [,ca,b3/2] ,,,c/ | \
[,aaa{,,a}3/2] ,,,c/ ,,,,e ,,,a | \
,,,,c/ ,,a ,,c ,,e ,a ,c |"
15;d moll;10;Courante;;;OT;;3;",,a1 | \
[,aa,c3/2] ,c/ [,d,,,c] a | \
[c,,,,d1] [aab,,a] ,d | \
[,c,,,c1] ,,f [,,ee] | \
[,,f{,,a}1] c e | \
[f{,a}1] ,c c | \
,,d1 [b,c3/2] e/ |"
16;D dur;11;Courante;;;2a;;3;",a1 | \
[,adca3] | \
[,ccc,a3/2] a/ b d | \
a1 {,,,a} ,,,,a | \
[aadc3/2] a/ b d | \
f1 {a} d | \
[baaa1] d [a,,,a] |"
17;a moll;12;Courent de S. Gio Pauli;;;OT;;3;",,a/ ,,c ,,d ,a | \
,c1 ,,,d ,a | \
[,,de1] [,a,a/] ,,d ,,c ,,a | \
,,,d1 ,,,,e ,,,,,e | \
{,a}2 a1 | \
[c{a}/] a ,d ,c ,a ,,d |"
18;g moll;13;Courante;;;OT;;3;"a1 | \
[aabc3/2] c/ d1 | \
[d,,,,a1] [caa{a}3/2] a/4 c | \
,f1 ,,,c ,,,,,a | \
[aabc2] a1 | \
[,d,,c1] ,a [,b,,a] | \
[,a,,,d1] [,,d{a}3/2] ,,,f/4 ,,d |"
19;D dur;14;[Courant de S. Gio Pauli];;Fragment;OT;Conc_4497;3;",a/ ,,d ,,c ,,a [,,c,e1] | \
[,,d,,c1] c/ a [,d,,c1] | \
[,c,,a1] [,a,,,d/] ,d ,c ,a | \
[,,e,,c3/2] ,c/ [,d,,c1] | \
[,c,,a1] [,a,,,d/] ,d ,c ,a |"
20;G dur;14;Pastorelle;;;OT;;3;"a1 | \
[aa,,,a1] ,,,c [ca,,c] | \
[e,,c1] ,,,,,a f | \
[f,d,a1] [ea,,,a3/2] a/4 e | \
f1 {,,,a} c | \
[caa{,,a}1] ,a a | \
[a{,a}3/2] c/ [,d{a}] ,c |"
21;D dur;15;Courent de S. Gio Pauli;;;OT;Conc_4497;3;",a/ ,,d ,,c ,,a [,,c,e1] | \
[,,d,,c1] c/ a [,d,,c1] | \
[,c,,a1] [,a,,,d/] ,d ,c ,a | \
[,,e,,c3/2] ,c/ [,d,,c1] | \
[,c,,a1] [,a,,,d/] ,d ,c ,a |"
22;g moll;16;Entrade;;Fragment;6a;;3;"{a}1 ,,a [ca] | \
,,,,a1 ,,e [aa] | \
,,,,,a1 ,,,c [,cc] | \
,,,,,b1 ,,,a [,aa] | \
{,a}1 ,,,c ,,c | \
{a}1 ,,,a ,,a | \
[,,,ca2] ,,,a1 |"
23;g moll;16;Courante;;;6g;;3;"f/ e/4 ,f | \
'[,e,,a1] {,,,a} c | \
[caa{a}3/2] e/ [f,,a1] | \
[e{,a}3/2] ,f/4 (e f1) | \
[c{,,a}1] (,,a/ ,,c) c1 | \
[a{,,,a}1] ,a c |"
24;D dur;17;Courante Monsieur;;;2a;Conc_323;3;"d1 | \
[d,,c,a3/2] b/ a ,c | \
'[a,,,a1] '[,c,,,a3/2] ,a/ | \
[,,cc3/2] ,a/ ,c1 | \
[,,,c{,a}3/2] ,,d/ [,,c{,,a}1] | \
[,a{,,,a}3/2] ,,c/ a b | \
[d,,,,a3/2] b/ a1 |"
25;D dur;17;Pastorelle;;;2a;;3;",,d1 | \
[,,dca1] {,,,a} ,c | \
[,e,,a1] ,,,,c b | \
[b,,a1] [a,,,a3/2] ,c/4 a | \
b1 {a} ,c | \
[,c,,,d1] ,,,a ,,d | \
[,,d{,,,a}3/2] ,c/ ,,b ,,a |"
26;g moll;18;Allemande;;;6a;;C;"[,faa1] {a}/ e/4 ,f/8 e f/ ,f [d,,,a/4] (,f ,d) ,,f | \
,a/ {,a} ,,,,,b (3,,,,,a/4 ,,,,,b ,,,,,d/ ,,,,a/ ,,e ',,c ,,a |"
