PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;0r;Tiento de los Tonos fuellana - Primero tono;;handwritten addition;OT;ConcR3381;C;"[,dda4] | [,dda2] a | [bdda2] [d,,c] | [fd,df2] ,,,f | \
[gd,f2] ,,f | [,gg,d2] ,f1 ,d | [abb,d2] [b,d] | [dde,b2] b | \
[,bd,d2] a1 ,d |";italian7tab
2;;0r;Segundo tono;;handwritten addition;OT;;C;"[,dda4] | [,cdca2] ,,,,,d1 ,,,,,c | [,abc,a4] | [,daac2] [,,def] | \
[abb,d2] ,,,,c1 ,,,,a | [dff,,d2] z2 | [cbd,a2] a | [aaa,c2] ,e | \
[a,bcd2] [,ab] |";italian7tab
3;;0r;Tercero tono;;handwritten addition;OT;;C;"[,dgf4] | [,dff2] [,,de] | [aadc2] [,,b,f] | [,dfec2] [,b,,a] | \
[ddf,,c2] [,,d,,c] | [dab,,a2] [,,bc] | [f,,ff2] ,,,e | \
[h,,fd2] ,,g | [ha,f2] [f,a] |";italian7tab
;;;Libro primero - Aqui se siguen dos fugas para principio de entender la musica deste libro, y son a tres, esta primera se señala desta manera pa entender la sol fa, tercera en primero traste se señala la claue de ce sol faut pa saber que la primera cifra colorada es alamire, cantando y tañendo la sol sol la re con las cifras negras.;;;;;;;
4;;1r;Fuga de primero grado;;;OT;;C;",,,c4 | ,,,a2 ,,,a | [,a,c4] | [a,d,a2] [,,d,d] | \
[,df,c2] [,d,a] | [a,,cd2] ,,b | [,,def2] [,bd,a] | \
[,ab,c2] ,d | [,bd,a2] ,,,c |";italian7tab
5;;1v;Otra fuga de primero grado;;;OT;;C;"a4 | [,df2] ,a | [,cd2] ,,,e | [,acc4] | [,,aa2] [,d,,c] | \
[a,,,e2] [,ce] | [,df,c2] [,ac] | ,,d2 [,,aa] | ,,,c2 [a,,,e] | \
[c,,a2] [,df,c] |";italian7tab
6;;1v;Agnus dei de primero grado;;;OT;;C;"[,a,,c1] ,,,,a ,,,,c ,,,,e | [,a,a1] ,,,,c ,,,c2 | \
,a1 ,,,a ,,,c ,,a | [,ab1] ,c ,d a | [ca,a2] [d,,c] | \
,a2 c1 a |";italian7tab
7;;2r;Benedictus de segundo grado;;;OT;;C;",a4 | ,b2 ,,d | ,d4 | ,b2 a | [ca2] ,d | c2d[ca] | \
[ab2] ,,d | [,df2] ,a | ,b2 a | [ca2] ,d |";italian7tab
8;;2r;Osanna de segundo grado;;;OT;;C;",a3 ,c1 | [,ef,c2] a1 ,,,,e | [ca,b2] [d,,c] | ,a1 c [d,,c] f | \
[ha1] f h2 | ,a1 f d c | [ab,,d2] ,,,c |";italian7tab
9;;2v;Agnus dei de tercero grado;;;OT;;C;"[a,,c3] ,,a1 | [a,c1] ,,,c ,,d2 | [a,,c1] ,,a ,,c [,,de] | \
[aac1] ,,,c [,cd2] | [aa,c,a1] ,,a ,,c [,,d,,c] | \
[aa,c,e1] ,,,,a [,c,,a2] |";italian7tab
10;;3v;Agnus dei de tercero grado;Iosquin;;OT;;C;"[,,,c,a3] ,,,,,c1 | [,,,c,e1] ,,,,,a ,,,,a2 | ,,,c2 ,,,,,e | \
[,,,ca1] ,,,b [,,,cd] ,,a | [,,cc1] ,,,,d [,,d,c] ,,,,a | \
,,,c2 ,,c |";italian7tab
;;;Libro segundo de motetes y otras cosas para cantar y tañer contrabaxo y en otras partes tenor;;;;;;;
11a;;5r;Laudate dominum omnes gentes;Layole;;OT;;C;",,,c4 | [a,,c4] | [a,,c2] ,,,,a | [a,,c2] [,,dd] | \
[a,,c1] ,d [b,d2] | [a,b2] ,,d1 ,d | [ab,c2] ,,d | [aa2] ,,c |";italian7tab
11b;;5v;Segunda parte - Gloria patri et filio;;;OT;;C;"[dfg2] [ab,,d1] d [cdda2] | [dfg,d2] [ab1] ,a [b,da] ,d | \
[abbc2] [,ddd] [,dff] | [fgfd4] [fg2] | \
[dfg2] [ab,,d1] d [cdda2] |";italian7tab
12;;5v;O gloriosa de i genitrix;Gombert;;OT;;C;",a4 | ,a2 ,a | [a,d3] ,a1 | [ab2] ,b | [,df2] [,bd] | \
b2 ,,b1 ,,d | [a,bc3] ,d/ ,b | [,abc2] ,b1 ,,d |";italian7tab
