PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;17;Volte;;Hoe groot o Heer en hoe vervaerlijck;OT;;C,1/4;"a1 | \
[aac,,a1] [aa] [aac,,a3/2] [,e,,c/] | \
[a,,,,d1] [d,,,,a] [caab] [aa,,c] | \
[,ea,c2] [,a,,,d1] ,a | \
[,a,,,d1] [,,d,,c] [,aba,d3/2] ,,d/ | \
[,,b,,a1] ,,b [,,da{a}/] ,a ,b ,d |
[V:Citter]
K:french4tab
k1 | \
[kagi1] k [kagi2] | n1 [mkm2] k1 | [heeg3/2] g/ [eag1] e | \
[feae1] ,e [ecca] d | [baca1] b d/ e f h |"
2;;20;Ballet La durette;;;OT;Conc_1755;C;"[,,dca1] ,,,,a/ ,a [,b,,a1] ,,d | \
[abd,a2] [,d,,,b1] ,b/ ,d | \
[a,,,,a/] b d1 [,b,,,b] [,aba,d] | \
[,bb,d1] a/ b [d,,c] a [f,,d1] |
[V:Citter]
K:french4tab
[daac1] d/ e f h [kia1] | [kagi2] [heeg] | \
[kia/] m [nakm1] [hea/] f [heeg1] | [fade2] [nakm3/2] p/ |"
3;;23;Een Fransche Bransle;;;OT;ConcR966;C;"[,dda{a}1] ,d/ ,c [,aac1] [,,dca] | \
[,dda/] ,c ,d a [cdda] ,d a c | \
[dab,,d1] [cdda] [a,d,a] [,d,,c] | \
[fcd,a2] [,dda] ||
[V:Citter]
K:french4tab
[heeg1] h/ g [ede1] [daac] | [heeg1] [kig] [mkm] k/ m | \
[nakm1] [mkm] [kagi] [heeg] | [paak2] [heeg] ||"
4;;25;Studenten Dans;;;OT;;C;"[abd,a3/2] ,d/ [,bd,a1] ,a/ ,,d | \
[,acc,a1] ,,,c [,ac] [dabc] | \
[caa,c1] [caa] [a,,,d/] d [c,,,a] a | \
[,ea,c2] [,ea] ||
[V:Citter]
K:french4tab
[kagi3/2] [heeg/] [fadc1] [ede/] d | [caca/] a c d [caca1] [nakm] | \
[mkm1] [mkm] [kaa/] n m k | [gig4] ||"
5;;27;Van een Fransche Courante;;;OT;ConcR343;3;"[fdda3/2] d/ f1 | \
[cdda2] [h,,f1] | \
[cdda3/2] d/ f1 | \
[dab,,d2] [cdda1] | \
[acd,a2] [,da,c1] | \
[,cd,a2] [,,d,e1] | \
[,dda2] [a,,,e1] |
[V:Citter]
K:french4tab
[gaae/] h | [kaa3/2] m/ [kia1] | [gaae2] [mkm1] | [kaa3] | \
[gaae3/2] h/ [kaa1] | [heeg2] [geg1] | \
[edea2] d1 | [caca3/2] a/ ,a1 |"
6;;30;Engelsche Daphne;;;OT;ConcR1105;3;",,,c1 ,,a | \
[,,bc,a2] ,,,c [,,da{a}] | \
[,ab,,d/] ,,d ,a ,b ,d ,a ,b ,d [acd,a2] | \
[,e,,c/] ,c ,e a c a c a [,e,,c] ,a ,c ,e |
[V:Citter]
K:french4tab
,a1 a | [cac4] [daa2] | [edea4] [kagi2] | \
[igia1] g i k ,,i i |"
7;;33;Op de Engelsche Foulle, Of: Walsch Wallinneken;;;OT;ConcR389;C;"a/ c | \
[dabc3/2] d/ [cdda1] a/ c | \
[daf,,d1] ,,b [,,ba,d] [ab,,d] | \
[,da,c1] [,b,,a] ,a ,,d | \
[,ab,,d2] [,ab1] ||
[V:Citter]
K:french4tab
[kia/] m | [nakm3/2] [nak/] [mkm1] k/ m | \
[nakm1] h [heeg] [kagi] | [heeg1] [faa] [edea] [daac] | \
[,dcd2] [,ded1] ||"
8;;35;La Morisque;Robert Ballard;;OT;ConcR591;3;"[cdda1] | \
[cdd{a}2] [dab,,d1] | \
[d,,c2] [fcd,a1] | \
[fcd,a2] [h,,f1] | \
[h,,f3/2] f/ [dab,,d1] | \
[h,,f2] [fhhh1] | \
[ddff,d2] |: [ddff,d1] | \
[ddff,d2] [cdda1] | \
[cdd2] [acd,a1] |
[V:Citter]
K:french4tab
,,,c1 | [daac2] ,,,d1 | [acad2] ,,,e1 | [,eae2] ,,,g1 | \
[,eeg3/2] ,,,e/ [acad1] | [,eeg2] [,eae1] | [acad2] |: \
,,,d1 | [acad2] ,,,c1 | [daac2] ,,,a1 |"
9;;37;Bransle Guinée;;;OT;ConcR945;C;"[,dd1] ,,,a [,dd] ,d/ a | \
[cdda1] a/ ,d [,cd,a1] [,cd] | \
[,ab,,d1] ,,d/ ,a [,,d,a1] [,d,,c] | \
{a}1 ,,,,a [,dda2] ||
[V:Citter]
K:french4tab
[acad1] ,,,d [acad] ,,,e/ ,,,g | [,eeg1] ,,,e/ ,,,d [daac1] [,aa] | \
[edea1] d/ e [daa1] [heeg] | [heeg1] [gaae] [heeg2] ||"
10;;41;La Dolphinée;;;OT;Conc_4492;3;",,d1 | \
[,bd,a3/2] ,d/ ,b1 | \
[,a,,,d2] [,,d,,b1] | \
[,,d{a}3/2] ,a/ [,c,,a1]| \
[,,dca2] || ,,d1 | \
[,bd,a2] [,db,c1] | \
[ab,,d3/2] b/ a1 | \
[ab,,d2] [,db,,d1] |
[V:Citter]
K:french4tab
[daac1] | [fade3/2] ,,e/ [fade1] | [edea2] [daac1] | \
[daac3/2] e/ [caca1] | [daac2] || d1 | [fade3/2] h/ f1 | \
[kagi2] k1 | [heeg3] |"
