PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1a;;1;Phe 12. A 9;;Psalm 12;OT;;C;",,d1 ,,b ,,,d2 | [a,b1] ,d [,cd/] ,,b ,,,d ,,,c | \
[,d,a1] ,,,,d/ ,,,,c [a,,,a1] ,,d | [,,cc1] ,,,a [ff,,e] d |"
_1b;;3;Seconde partye;;;OT;;C;"f2 ,,d | [bde1] [,bd] [dd,f] ,f | [fg,d2] [bd,a1] ,b | \
[ddef1] [,d,d] [dc,c] f | [gd,a1] [f,g] ,,e [d,,c] |"
_1c;;5;Troisiesme partye;;;OT;;C;"f/ d b a [bd] ,b ,,e ,,d | [d,e1] ,,,f [fd/] d f h | \
[if,h1] ,,,f ,,,,i ,,,,h [f,,d1] [b,,a] |"
2;;7;Phe 16. A 8;;Psalm 16;OT;;C;"c2 a1 ,d | [,cd1] a ,,c [c,a] | [ea,c1] a [f,,,e] [e,,a/] c | \
[add1] ,c/ ,,c ,,a ,a [,c,,e1] |"
3;;9;Phe 24. A 9;;Psalm 24;OT;;C;"[aab,,a1] ,,a ,,b ,,d | [caab1] ,,,,c [da,c] ,,d | \
,a1 ,,a [,dff] a | [cdda2] {a}1 ,,,,,a |"
4;;11;Phe 25. A 10;;Psalm 25.;OT;;3;",,b1 d ,a c [ab2] | [,dff2] [a,bc1] ,,,,d [,,da/] ,a ,b ,d | \
[,ab,,d3/2] ,,d/4 ,a ,,b1 [,a,,,c/] ,,,,,a [,,a{b}1] ,,d |"
5;;13;Phe 33. A 9;;Psalm 33;OT;;C;"[,dda1] f ,,d/ d [b,d] d | [ab1] [da] [,bd/] ,d [a,b1] | \
,,,d/ ,d/4 ,b [,dd1] [a,cc] [,bd,a] |"
6;;15;Phe 40. A 9;;Psalm 40;OT;;C;"[if,h2] [hf,g1] [ffgh] | [ea,c1] a [,,d,e] [bd,a] | \
[aa,c1] [,bd,a] [,a,,,e] [,,dca] | \
[,,cc,a1] ,,,c [,,d{,a}] [,bdc{,,a}] | [,ab,,a2] a1 ,,,a |"
7;;17;Phe 42. A 9;;Psalm 42;OT;;3;"[,ab3/2] ,c/ ,d2 [aabc] | [,da,c2] [dab,,d1] ,,,,a [caa,c2] | \
[aa,,,a1] ,b [,ab] {a} [a,a{,a}] ,,,c | \
[caab{,,a}2] [,,b,,a1] a [,d,,,c] ,b |"
8;;19;Phe 47. A 9;;Psalm 47;OT;;C;",,d2 ,,a | [,d,a1] ,,,c [,c,e] ,,d | \
[,ab1] ,c [,da] ,,,c/ ,,,a | \
[,,,ca1] [,c,c] [,,da,c] [,cd] | \
[,d{a}1] [,,b,,a] [,,d,,c] [,,b,,d/] ,,a |"
9;;21;Phe 80. A 9;;Psalm 80;OT;;C;"[,,dd{a}1] ,d [,,,ca] ,c | [,dda3/2] [a,,,d/] [b,,,b1] [,b,,a] | \
[dde,,d1] [f,d{d}] [,f,,,a/] d [b,d] a | \
[b{a}1] ,d ,,,a/ ,b ,,d ,a |"
10a;;23;Phe 81. A 8;;Psalm 81;OT;;C;"[ddff3/2] ,g/ [,f,,d] ,d ,f1 | \
[f,,d1] ,,,a/ h [if,h1] [fd,d] | \
[eff,,a1] [f,,,a] b [,d,,c] | \
[ab,,d/] ,a ,,b ,,d [,dff,d] ,,g [,dff1] |"
_10b;;25;Seconde Verset;;;OT;;C;"d3/2 b/4 a b a ,d ,b ,a ,b ,d a ,b a b | \
[d,b3/4] ,,,d/4 ,,,c ,,,d ,,,c ,,,a ,,,,d ,,,a ,,,c ,,,d"
_10c;;26;Troisieme Verset;;;OT;;C;",,b3/2 ,,,d/ ,,,c1 ,,b | [,,da1] ,a [,b,,d] ,,,,c/ ,,,,a | \
,,,c/ ,b ,a ,b ,,d a ,,c ,d | [,bd/] ,d a b"
