PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;A2r;Deh cant'Aminta;Horatio Vecchi;;OT;;C;"[cd,a4] | [ac,,a/] ,d a c a1 [,df,c] | [,ce,,c2] [,ce,,c1] [f,,e] | \
[f,,e1] c/ [e,,c] [fh,a1] [he,,,h] | [eg,,e1] [fi] e ,g |";italian7tab
2;;A2v;Per l'ottauo miracolo;Horatio Vecchi;;OT;;C;"[bdda4] | ,,d2 [a,,,d1] [,d,,c] | [,bd,a1] [,b,,c] [a,b,d] ,,,d | \
[a,,c1] [bd,,a] [ddf,,d] ,b | [,de,,d1] [bbd,,b] [,bb,d] a | \
[bbd,,b2] z1 [,bdd] |";italian7tab
3;;A3r;Hora ch'ogn'animal;Horatio Vecchi;;OT;;C;"[,ce,,c4] | [,ce2] [,ef,c1] [,ef,c] | [ac,,a2] [aa,,,d] | \
[c,e,,d3] ,,f1 |,c2 [ce,,c] | [df,,,a2] [c{a}] | [df,,,a4] | \
[c,,a1] c/ ,,,,e [,d,,c1] ,a |";italian7tab
4;;A3v;L'amara dipartita;Gemignano Capi Lupi;;OT;;C;"X,,,e2 [cc,] | [cd,a3] [cd,a1] | [cd,a2] [ac,,a] | [,df,c4] | \
[,cd,,c1] [,cd] [,cd] [,ac] | [,,de1] [f,,e] [f,,e] [e,,c] | \
[c,,a1] f f ,,,a/ e |";italian7tab
5;;A4r;Nisa dolce ben mio;Gemignano Capi Lupi;;OT;;C;"[,df,c4] | [,ce,,c2] z1 [ce,,c3/2] | [ce,,c/] [ff,c1] [fh,a2] | \
[fh,a2] [h,,f1] [h,,f/] [f,,e] | [hi,,h1] [hi/] [fh] [df1] [df,c] | \
[cc,e1] [,ff/] ,d ,c1 ,,e |";italian7tab
6;;A4v;Mentre l'Aquila assisa gl'occhi;Gemignano Capi Lupi;;OT;;C;"[,df,c2] [,df,c1] [,df,c3/2] | [,df,c/] [,df,c1] [,ce,,c] [,df,c] | \
[,df,c/] ,,,,e ,,,a ,,,c [,cde1] ,,a | \
,,d1 ,,,c/ ,,,a [,cc,e1] [c,d,,c] |";italian7tab
7;;B1r;Già l'ond'e'l vento tace;Horatio Vecchi;;OT;;C;"[eg,,e4] | [fc,,,c3] [ce,,,b1] | [cc,,,c2] [,c,,a] | [,eg,,e4] | \
z2 [,eg,,e] | [cc,,,c1] [,cd,,c2] [,cd,,c1] | [,cd,,c2] [,cd,,c] | \
[,cc,c1] [,eg,,e] [ac,,e3/2] ,e/ | a2 [ee,,c] |";italian7tab
8;;B1v;Al tremend'e potente Re;Horatio Vecchi;;OT;;C;"[ef,,,a4] | [ef,,,a1] [fh,,,a] [hk,,,a] [ff,,,a] | \
[ef,c3/2] [c,,b/] [a,c,e1] [,c,,a] | [ce,,c1] [ef] c ,e | \
[ef,,,a1] :||: ,f1 ,e [c,,,c] |";italian7tab
9;;B2r;La fiamma che m'incende;Gemignano Capi Lupi;;OT;;C;"[ce,,c2] [df,,,a3] | [cd,,,c1] [ac,,a] [,df,c] | [,ce,,c2] [,ce,,c] | \
[,d,,c1] [,d,,c/] [a,,,e] [c,,a1] c/ d | f1 [cd{a}] [ac,,a2] | \
a1 [,c,,a/] [,c,,a1] [,a,,,d/] a |";italian7tab
10;;B2v;Temerario Fetonte;Gemignano Capi Lupi;;OT;;C;",,,a1 [cd,a/] [df] [fh,a2] | [dd,,,d1] [cd{a}] [ac,,a2] | \
[ac,,a1] ,,,,a [,ab,,d] [ab/] ,,,,a | [,ab,c1] [,ab,e] [,,da3/2] ,,b/ | \
,,a1 [dd,,,d] [ac,,a] [,d,,c] |";italian7tab
