PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2r;1. Quanto sia liet'il giorno;;;OT;;C;",d2 b3/2 a/ | ,d1 ,c [,d,a2] | [,,ddf3/2] ,,,c/ [,,ddf1] [,,,ce] | \
[,,,df1] ,,d/ ,,,f [,bd,a1] [,bd] | ,a1 ,b ,d [,,da] |";italiantab
2;;3v;2. Quand amor i begli occhi;;;OT;;C;",d2 [,bd1] ,,d | [,ab1] [,b,c] [,d,d] [,dff] | \
[,bd1] [,ddd] [,,ff] [,bd] | [,dea1] ,,d [,,da] ,d | \
[,df1] [ab,,a] [,dda] ,,,a |";italiantab
3;;4v;3. Donna leggiadra, e bella;;;OT;;C;"[ab,,d2] [ab,,d] | [,dff2] [bd,a3/2] ,b/ | [aa,c1] [ab,,d] [,d,f] ,,f | \
[,b,,d2] z1 [,df,,d1] | [ab,,d1] [,dda] [,abc] [,bb,d] | \
[,ab,,d1] [,,ba,d] [,,dcd] [,,bab] |";italiantab
4;;5v;4. Madonna qual certezza;;;OT;;C;"[,a,c2] [aa,c] | [aa,c2] [,df,c1] ,,f | [,cee1] [,aff] [,c,e] ,,e | \
[,df,c2] z1 [,df,c1] | [,dda1] [cd,a] [ab,c] [aa,c] | \
[,cde2] [,daa] |";italiantab
5;;7v;5. Con lagrime, & sospir;;;OT;;C;"[ab,,d2] [ab,,d] | [bb,d3] [ab,,d1] | [,dda2] [,df,,d] | \
[ab,,d3] [,bb,d1] | [,d,,b1] [,bb,d] [,ab,,d2] | \
[,bb,d1] ,,b [,bb,d] ,b/ ,a | [,d,d/] ,a ,,d [,,bc]";italiantab
6;;8v;6. Fugi fugi cor mio;;;OT;;C;",,b2 [,b,cd1] ,,b | [,a,,,d1] [,b,cd] [,b,,d] [,b,cd] | \
[,,dff3/2] ,a/ [,bb,d2] | z1 [ab,,d1] [,dda] [,bbc] | \
[,bdd1] [,aaa] [,bb,d2] | [,ab,,d2] z1 [,ab,,d1] |";italiantab
7;;10r;7. Igno soave;;;OT;;C;"[,ca2] [,da1] [,ca] | [,df2] [,ca1] [,aa,c] | [,ab,c1] [,aa,c] [,abc2] | \
[,aa,c2] [,acc1] [,dda] | [,d,,c1] [,cc,e] [,,de] ,,,,,c | \
,,a1 [,a,,c] [,a,,c] ,,a |";italiantab
8;;11v;8. Amor se d'hor in hor la doglia cresce;;;OT;;C;"[,dda2] [bd,a3/2] ,,,c/ | [,b,d1] [a,,,d/] ,a [,dda1] ,,,a/ ,b | \
[,ab,,d1] ,a [,b,,db] ,,,d | [,,ea,d1] [,,d,ef] [,,,ab] ,,b | \
[,,dca2] z1 [,bd,a1] |";italiantab
9;;12r;9. Donna che sete tra le belle bella;;;OT;;C;",c2 ,a1 ,c | [,,de2] [,,cc1] [,cde] | ,,,a1 [,aa] [,c,,e] [,,def] | \
[,,def1] [,,dcc/] ,,,a [,,dca1] [,,,e,c] | \
[,,aac1] ,,c [,,dca] [,,aac] |";italiantab
10;;13v;10. Se mai provasti donna;;;OT;;C;"[,,de,c2] [,,de,c] | [,,cce1] [,,cce] [,cd,a] [,cd,a] | \
[,dda2] [,cd,a1] [,,dca] | [,cd,a2] [,aa,c] | [,,de,c2] z1 [,cd,,c1] | \
[,cc,e1] [,,def] [,d,,c] [,cc,e] |";italiantab
