PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;3r;Ai dolci e vaghi accenti;;Gio: Maria Nanino;OT;;C;"[,df,c2] [,cee,c] | ,,,e2 [,ef,c] | [ac,,a/] ,d a c [ac1] [c,d,,c] | \
[da,,,a1] ,,d ,a ,c | [cd,a{a}1] c f/ d [c,,a] f |";italian7tab
2;;4r;E se tal'hor affetti;;Gio: Maria Nanino;OT;;C;"[cd,,c2] [cd,,c] [ac,,e1] [c,da2] [ea,,c1] | [fc,,a2] [ac,,a1] [cd,a] | \
[aa,c2] [,cee] | [,df,c1] ,,a ,,b [,df] | \
[,cd/] ,,b [,,a,,c] ,,d [,ab,,d] ,c ,d a |";italian7tab
3;;5r;Cosi un leggiadro canto;;Gio: Maria Nanino;OT;;C;"[ce,,c1] [ce,,c3/2] [df,,,d/] | [ac,,a1] [df,,,a] [c,,,c] ,e | \
[af,,,a1] [,c,,a] ,,d [,df,,d] | ,,,f1 [ac,,,a] [cd,a/] a d c |";italian7tab
4;;6r;Onde spieghin sue lodi;;Gio: Maria Nanino;OT;;C;",a2 [c,d1] ,d | [ac1] [f,de] [db,,c] [a,d] | [dab1] ,,,c [,d,f] [,af/] a | \
[c,da1] [,d,,c] [,c,,a] [c,da] | \
[a,d,e/] ,a [fc,,a] ,d [df,,d1] a |";italian7tab
5;;7r;Spesso il Canto;;Gio. de Macque;OT;;C;"[fg,d3] [df,,d1] | [bd,a/] a ,d a b d f1 | [b,,a1] [,bdd] [d,bc2] | \
[fb,d1] ,,d ,b [,,bc] | [,dda/] ,,,,d ,,,,c ,,,,d";italian7tab
6;;8r;E sopra gl'arbuscelli;;Gio. de Macque;OT;;C;",,d1 ,,d/ ,,d ,,e1 ,,e | ,,d1 ,,,a ,,d/ ,,,c ,,,d1 | \
[a,d,d/] [,a,a] [ab,c] d [bd,a1] b | [ab1] ,a/ ,,d ,,c1 a |";italian7tab
7;;9r;E i travagliati amanti;;Gio. de Macque;OT;;C;",,,,f1 [fg] ,,,,c [df,,d] | ,,,,a1 [bd,,b] ,,,,,d [ab,,a/] ,,d | \
,,a1 [,dff] [,b,c] [,dd] | [,a,a1] [,,cc] ,,,,,a [acd,a] |";italian7tab
8;;10r;Se dunque il dolce Canto;;Gio. de Macque;OT;;C;"[f,,d,b2] b1 [f,,,,b] | [db,,d1] [bd] [ab3/2] ,d/ | \
,b/ ,a ,,d ,a ,b ,d a b | [ea,c1] [f,,a] ,,,c e |";italian7tab
9;;11r;All'hor che di bei fiori;;Ruggiero Giovanelli;OT;;C;",,d2 a | ,,d1 f [df] d | c/ a [fh] ,,i [df1] d | \
[cd,a/] a c ,d [acd] ,d ,c ,a |";italian7tab
10;;12r;E da verdi boschetti;;Ruggiero Giovanelli;OT;;C;"[acd3] [cda1] | [,dff2] [,dff1] [ac,c] | [cd,a/] ,c ,d a c d f d | \
[c,,a/] a ,d ,c ,d ,,,c ,,a ,,b |";italian7tab
11;;13r;Al suon di Cornamusa;;Felice Anerio;OT;;C;",,,,a2 ,,d/ ,a ,c ,,d | a2 ,,d | [,c,,a1] ,,a ,,,c ,d | \
[a,,,a2] c | [a,,,a1] ,c [cda2] | [ac,,a2] [,df] | \
[,cd1] ,,,,a [cd2] |";italian7tab
12;;14r;Quand'il fido Pastore;;Rinaldo del Mel;OT;;C;",,b4 | [,ab2] ,d | ,,a1 ,d [a,b2] | ,d1 ,,d ,,f ,b/ ,a | \
[,bd3/2] [,ab/] [,bd3/2] [,ab/] | [,bd1] ,,,,a ,,,c ,,d |";italian7tab
13;;15r;Al tremolar de l'onde;;Felice Anerio;OT;;C;",d2 c/ a c d | f/ d c a c ,c ,d a | \
[cd1] {a} [cd,,,c/] ,,,,,a ,,,,,c ,,,,,d |";italian7tab
14;;16r;L'amoroso Delfino lascia i profondi;;;staff;;C;;
15;;17r;E le celesti sfere;;Rinaldo del Mel;OT;;C;"[,dff2] [ab,c1] [ab,,d] | [,dff1] ,d/ ,,,e [d,,c1] ,c | \
[cd,a2] [,,da1] [,,da] | \
[,ab1] [,,de/] [,,bc] [,dde1] [,d,c/] ,,,a |";italian7tab
16;;18r;Mentr'il canoro Cigno;;Gio. Bernardino Nanino;OT;;C;"[fh,,f2] [fh,,f1] [fh,,f] | [df,c2] [dh,,f] | [hd,f,d1] ,,,,a ,,,,c ,,,,e | \
[fh,,f1] ,,a ,,,a a | c1 ,d c [df] |";italian7tab
17;;19r;Ecco del Canto;;Bernardino Nanino;OT;;C;",,d2 [a,d1] ,,,c | [a,b1] ,a [,da] [,b,c/] ,,a | \
[,ab/] [,b,c] [,da] [,bd] ,a ,b ,d | \
[a,d/] ,,b ,,d ,a [,bd1] ,,,c |";italian7tab
18;;20r;E voi muse gradite;;Bern.no Nanino;OT;;C;",,d2 [abd] | [ab2] [,bd] | [,dff2] [ac,c] | [bd,a2] ,,,,d1 ,,,,c | \
[ac,,a2] ,,d1 [,bd] | ,,d1 [,ac] [,cd] [,ea] | \
[a,,c1] ,a [,bd/] ,a ,,d ,a |";italian7tab
