PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;Concordances from Brown: Instrumental music printed before 1600;;;;;;
1a;;1r;Passemezo Milanese;;;cittern;ConcR3065;C;"[daab1] [daa] [daab] [edea] | [daab1] [faae] [faae] [edea/] [daab] | \
[edea2] [edea/] d e f | [edea1] [ede] [edea/] d f e |";french4tab
_1b;;1v;Padoana Milanese;;;cittern;;3;"[daab/] | [daab1] [daa/] | [daab/] ,,,d ,,,b | ,,a/ ,,,e ,,,d | \
[daab/] ,,,a ,,a | [edea1] [ede/] | ,,,a/ [edee] f | \
[edea1] [ede/] |";french4tab
_1c;;1v;Il suo Saltarello;;;cittern;ConcR3066;3;"[daab3/2] ,,c/ ,,a1 | [daab1] [daab] ,,,a/ ,,a | [edea3/2] f/ [edea1] | \
[edea1] ,,,e ,,,d | [daab3/2] ,,c/ ,,a1 | \
[dbab1] [baca] [dbad] |";french4tab
2a;;2r;Passemezo Commune;;;cittern;ConcR3067;C;"[daac/] ,,,d [daac1] [daac/] [caca] | [daac/] c [daa] e [daac] ,,,a ,,,c ,,,d | \
[daac/] ,,,a ,,,c ,,,a [dcad1] ,,,c/ ,,,a |";french4tab
_2b;;2v;Padoana Commune;;;cittern;;3;"[daac/] | [daac1] [daa/] | [daac/] ,,,c ,,,d | [daaf1] [dcad/] | \
[daac/] d/4 c a c | [dcad/] c/4 a c a |";french4tab
_2c;;3v;Saltarello Commune;;;cittern;ConcR3068;3;"[daac1] | [daac3/2] [daa/] ,,,c1 | [daac1] ,,,d/ ,,,c ,,,a ,,a | \
[dcad3/2] [dca/] ,,,d1 | [dcad1] [dcad] ,,,c/ ,,,a | \
[daac3/2] [daa/] ,,,c1 |";french4tab
3a;;4r;Passemezo de Zorzi;;;cittern;ConcR842;C;"[daac1] [daac] [daac/] ,,,d | [daac/] ,,,c ,,,a ,,a [caca] a [caca] d | \
[cace1] [cace] [ecca] [cace] | \
[ecca/] ,,,c ,,,d ,,,a [cace1] [cac] |";french4tab
_3b;;4v;Padoana de Zorzi;;;cittern;ConcR1833;3;"[daac/] | [daac/] d/4 c d c | a/4 c d e d a | [caca/] d [caca] | \
[cac/] ,,,a [cace] |";french4tab
_3c;;5r;Saltarello de Zorzi;;;cittern;ConcR1219;3;"[daac1] | [daac3/2] ,,,d/ [daac1] | [daac1] ,,,d/ ,,,c ,,,a ,,a | \
[caca3/2] a/ c d | [caca/] a c d e c |";french4tab
4a;;5v;Passemezo Ungaro;;;cittern;ConcR3069;C;"[bdcd1] [dcad] [,cad] | [dcad1] [bdcd] [dadb] [,adb] | \
[dadb1] [bdcd] [dcad] [bdcd] | [dadb1] [acad] [bdcd/] a b d | \
[bdcd1] :||:";french4tab
_4b;;6r;Il suo Saltarello;;;cittern;ConcR3070;3;"[edea1] | [dcad2] [dca1] | [acad1] b/ d [bdcd1] | \
[dadb3/2] [dad/] ,,,b1 | [dadb1] [dad] [bdcd] | \
[acad1] b/ d [edea1] | [dadb1] [dad] [dcad] |";french4tab
5a;;6v;Passemezo de la Rocha el Fuso;;;cittern;ConcR210;C;"[daae2] [daae1] [dcad] | [daac/] ,,,a ,,,c ,,,d [daac] ,,,e ,,,d ,,,c | \
[dcad/] ,,a ,,,d ,,,c [edea] [dcad] [daac] [,,cd] |";french4tab
_5b;;7v;Padoana de la Rocha el Fuso;;;cittern;ConcR3071;3;"[daae/] | [daae1] [dcad/] | [daac/] ,,,d/4 ,,,c ,,,a ,,,c | \
[dcad/] ,,,c/4 ,,,d ,,,e ,,,d | ,,,c/4 ,,,a d c d a |";french4tab
_5c;;8v;Il suo Saltarello;;;cittern;ConcR1384;3;"[daae2] [dcad1] | [daac3/2] [daa/] ,,,c1 | ,,,a/ ,,,c [dcad] ,,,c [edea] ,,,d | \
[daac1] [daac/] ,,,a [daa1] | [daae1] [daae] [dcad] |";french4tab
6a;;9r;Passemezo Tu ti porti core mio caro;;;cittern;;C;"[daac1] [daac] [daac/] ,,,a | [daac/] ,,,a [daac] ,,,d [daac1] [daa/] ,,,c | \
[dcad1] ,,,c/ ,,,a [daac] c d e |";french4tab
_6b;;9v;Padoana;;;cittern;;3;"[daac/] | [daac1] [daa/] | ,,a/4 c d ,,,a ,,,c ,,,d | \
[daae/] ,,,d [daae] | [dcad/] ,,,a/4 ,,,c ,,,d ,,,a |";french4tab
_6c;;10r;Il suo Saltarello;;;cittern;;3;"[daac1] | [daac3/2] [daa/] ,,,c1 | [daac1] [dcad/] ,,,a ,,,c ,,,d | \
[daac1] c/ a [daac1] | [daac1] [daa] [daac] | \
[dcad1] [ecca] [daac] |";french4tab
7a;;10v;Passemezo Desperata;;;cittern;;C;"[bdcd2] [bdcd1] [bdcd] | [dcad3/2] [baca/] [ecca1] [baca] | \
[acad1] [bdcd] [baca/] a/4  b d b a ,a | \
[ecca/] d e f [ecca2] |";french4tab
_7b;;11v;Padoana Desperata;;;cittern;;3;"[bdca/] | [bdca1] [bdc/] | ,,,a/ [bdc] [dcad] | [bdca/] d [bdca] | \
[dcad1] [bdcd/] | [dcad/] b [acad] | [bdca/] d/4 b a ,a |";french4tab
_7c;;12v;Il suo Saltarello;;;cittern;;3;"[bdca3/2] [bdc/] ,,,a1 | [bdca1] [bdc] [bdca] | [dcad2] [baca1] | \
[ecca2] [bdca1] | [dcad2] [bdca1] | [bdca1] ,,,d/ ,,,b ,,,a ,,a | \
[ecca3/2] [ecc/] ,,,a1 |";french4tab
8a;;13v;Passemezo Ducessa;;;cittern;;C;"[acad/] b [dcad2] | [dcad/] a [dadb] [da] [acad3/2] d/ | \
[dadb1] [acad] ,,a/ [da] [acc] ,,,d | ,,a/ [acc] ,,a [da]";french4tab
_8b;;14v;Padoana;;;cittern;;3;"[dcad/] | [dcad1] [dca/] | [dcad1] [daac/] | [bdca1] [dcad/] | \
[bdca/] d/4 b a ,a | ,,a/ [da] [acc] | ,,a/ [acc] [daa] |";french4tab
_8c;;15r;Il suo Saltarello;;;cittern;;3;"[dcad1] | [dcad3/2] [dc/] ,,a1 | [dcad1] [dca] [daac] | \
[baca1] ,d [dcac] | [daab1] ,,d [acad] | ,,a1 [da] [acc] | \
[bdca1] ,,a [da] |";french4tab
9;;15v;Passemezo Il est jour;;;cittern;;C;"[daac2] [daac1] [edea] | [dadb2] [dadb1] [edea] | [daa/] c/4 a [caca/] [cac] | \
[daab/] ,,,a/4 ,,,b ,,,d ,,,b ,,,a ,,a |";french4tab
10;;16r;Passemezo Batalgia;;;cittern;ConcR3072;C;"[kagi2] [kagi1] [kagi] | [geae/] e/4 g h e g h [geae1] [heeg] | \
[heeg/] g h g [edea] d c a |";french4tab
11;;16v;Madona Zohanna;;;cittern;;3;"[daa1] [daa] [caca] | [daac2] [daac1] | ,,,a/ ,,,c [dcad1] ,,,c/ ,,,a | \
[daac2] [daac1] | [daa1] [da] [caca] | \
[daac1] ,,,d/ ,,,c ,,,a d |";french4tab
12a;;17r;Passemezo D'Italie;;;cittern;ConcR437;C;",,,d/ ,a | [dbad2] [dbad3/2] ,a/ | [,bad1] ,,,d/ ,,a ,d ,b ,a ,,,d | \
[badb1] ,d ,d/ ,b ,a ,,,d |";french4tab
_12b;;17v;Gaiarda;;;cittern;ConcR183;3;",,,d/ ,a | [dbad3/2] [dba/] ,,,d1 | [,bad1] ,d/ ,b ,a ,,,d | \
[badb2] [bad1] | [badb1] [bad/] ,d ,b ,a | [dbad2] [dba1] |";french4tab
13;;17v;Gaiarda;;;cittern;;3;"[daac1] d [daac] | [acad2] [daac] [bdca1] [bdc] | \
[acad1] [aca] [acad] | [daac1] [daac] d/ b | \
[acad1] [aca/] b [daac1] b/ a |";french4tab
14;;18r;La forza de Hercule;;;cittern;ConcR1249;C;"[daa/] c d e [dadb1] [dadb] | [edea1] [ede/] f e d [edea1] | \
[dbab1] ,,,a/ ,,,b ,,,d ,,,b ,,,a ,,a |";french4tab
15;;18v;Galiarda;;;cittern;ConcR3073;3;"[dadb1] [dad] [dadb] | [edea1] [ede/] f [edea1] | \
[dadb1] ,,,d/ ,,,b ,,,a ,,a | [caca/] a c d [caca1] | \
[dadb1] [dad] [dadb] |";french4tab
16;;19r;Chi passa per questa strada;;;cittern;ConcR178;3;"[caca1] | [caca1] ,,,a/ d c a | [caca1] c [caca1] | \
[caca3/2] a/ c d | [caca1] [cac] a/ c | \
[daac1] ,,,a/ ,,,c [dcad1] |";french4tab
17;;19v;La Caracossa;;;cittern;ConcR202;3;"[caca1] [cac] [caca] | [caca/] a c/4 a c d [caca1] | \
[daac/] c d a c d | [bdca/] a b/4 a b d [bdca1] |";french4tab
18;;20r;Gaiarda L. Milleri;;;cittern;;3;"d/ e | [faae2] [faae] [heeg3/2] f/ | [ecca3/2] d/ [cac] a | \
[caca1] [cac] :||: ,,,e/ ,,,d | [daab3/2] ,,,a/ [dbd1] | \
[dbad1] [caca] [cac] |";french4tab
19;;20v;Marchese de Gasto Gaiarda;;;cittern;ConcR3054;3;"[daac1] [daa] [dcad] | [daac1] d/ ,a [dcad1] | \
[daac1] [dcad] [daac] | [caca1] c/ ,a [caca1] | \
[daac/] ,,,a ,,,c ,,,d ,,,e ,,,d |";french4tab
20;;21r;Gaiarda;;;cittern;;3;"e/ g | [heeg3/2] h/ [heeg1] | [heeg1] [geaf] [edec] | \
[daac2] [acad] [daac] | [edea1] [edea/] f [edea1] | \
[daac1] [baca] [bac] |";french4tab
21;;21v;Gaiarda;;;cittern;ConcR3074;3;"c/ d [edea1] [edea] | [edea2] [ede1] | ,,,a/ ,,,c [dcad1] [dcad] | \
[dcad2] [dcad1] | ,,a/ ,,,a [daab1] [,bad] | \
[,aae3/2] ,,,d/ [daab1] |";french4tab
22;;22r;Gaiarda;;;cittern;;3;"d/ e | ,,,c1 [daa] c/ a | ,,,d1 [aca] ,d/ a | [caca/] d e c d e | \
,,,c1 [daa] :||:";french4tab
23;;22v;Gaiarda;;;cittern;ConcR3075;3;"a/ c | [daac3/2] c/ [daac1] | [daac1] [edea] [ede] | \
[fade3/2] f/ [fade1] | [fade1] [fad] [fade] | [dbd3/2] d/ [dbd1] | \
[fade1] [edea] [edea] |";french4tab
