PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;G. re sol mineur. ;;;;;;;;
1;g moll;1;Allemande grave;;;;Conc_4578;;
2;g moll;3;Allemande gaye;;;;Conc_4567;;
3;g moll;5;Allemande grave ;;;;Conc_4568;;
4;g moll;7;Courante;;;;Conc_4569;;
5;g moll;8;Courante;;;;Conc_4570;;
6;g moll;9;Courante;;;;;;
7;g moll;11;Sarabande;;;;Conc_4571;;
8;g moll;12;Sarabande;;;;Conc_4588;;
9;g moll;13;Sarabande;;;;;;
10;g moll;14;Gigue;;;;Conc_4589;;
11;g moll;15;Gigue gaye;;;;Conc_4572;;
12;g moll;17;Gavotte;;;;Conc_4590;;
13;g moll;18;Gavotte;;;;Conc_4591;;
14;g moll;19;Passacaille;;;;Conc_4592;;
15;g moll;21;Pastoralle;;;;Conc_4573;;
16;g moll;22;Menuet;;;;Conc_4574;;
;G. re sol majeur. ;;;;;;;;
17;G dur;23;Allemande;;;;Conc_4593;;
18;G dur;25;Courante;;;;Conc_4594;;
19;G dur;26;Sarabande;;;;Conc_4595;;
20;G dur;27;Gigue;;;;Conc_4596;;
21;G dur;28;Menuet;;;;;;
22;G dur;29;Chacone;;;;Conc_4597;;
;A. mi la mineur. ;;;;;;;;
23;a moll;31;Prélude;;;;;;
24;a moll;31;Allemande grave;;;;;;
25;a moll;33;Allemande grave, tombeau du vieux gallot;;;;Conc_4575;;
26;a moll;35;Allemande grave;;;;Conc_2538;;
27;a moll;37;Courante;;;;Conc_4599;;
28;a moll;38;Sarabande;;;;Conc_4600;;
29;a moll;39;Sarabande;;;;Conc_4601;;
30;a moll;40;Gigue;;;;Conc_4576;;
31;a moll;41;Gigue;;;;Conc_4602;;
32;a moll;43;Gavotte;;;;Conc_4603;;
33;a moll;44;La Montfermeil, rondeau;;;;Conc_4577;;
;B. fa si b. majeur. ;;;;;;;;
34;B dur;45;Allemande gaye, la mutine;;;;Conc_2528;;
35;B dur;47;Courante;;;;Conc_4604;;
36;B dur;48;Sarabande, la Du haut-ménil ;;;;Conc_4579;;
37;B dur;49;Gigue grave;;;;Conc_4605;;
38;B dur;51;Gavotte;;;;Conc_2530;;
;C. Sol ut mineur. ;;;;;;;;
39;c moll;52;Prélude;;;;;;
40;c moll;53;Allemande grave, Tombeau de Du But;;;;Conc_4580;;
41;c moll;55;Allemande grave, Tombeau de Tonty;;;;Conc_4581;;
42;c moll;57;Allemande grave, Tombeau de Francisque Corbet;;;;;;
43;c moll;59;Allemande grave, La conversation;;;;Conc_2516;;
44;c moll;61;Courante;;;;Conc_4582;;
45;c moll;62;Courante;;;;Conc_4583;;
46;c moll;63;Sarabande;;;;;;
47;c moll;64;Sarabande;;;;Conc_4607;;
48;c moll;65;Gigue;;;;Conc_4608;;
49;c moll;67;Gigue gaye;;;;Conc_4598;;
50;c moll;69;Gavotte;;;;Conc_4609;;
51;c moll;69;Gavotte en rondeau;;;;Conc_4610;;
52;c moll;70;Gavotte;;;;Conc_4611;;
;C. Sol ut majeur. ;;;;;;;;
53;C Dur;71;Allemande;;;;Conc_2533;;
54;C Dur;73;Courante;;;;Conc_2494;;
55;C Dur;74;Courante;;;;Conc_4613;;
56;C Dur;75;Gigue;;;;Conc_4614;;
57;C Dur;76;Gigue;;;;Conc_4615;;
58;C Dur;77;La musette, rondeau;;;;Conc_4616;;
59;C Dur;79;Gavotte en rondeau;;;;Conc_3860;;
60;C Dur;80;Menuet en rondeau;;;;Conc_4617;;
;D. La re mineur. ;;;;;;;;
61;d moll;81;Allemande, La Royale;;;;Conc_4584;;
62;d moll;83;Courante;;;;;;
63;d moll;84;Courante;;;;Conc_4618;;
64;d moll;85;Sarabande;;;;;;
64;d moll;86;Gavotte;;;;Conc_2483;;
66;d moll;87;Chacone;;;;Conc_2491;;
67;d moll;88;Mascarade, rondeau;;;;Conc_4585;;
;D. La re majeur.;;;;;;;;
68;D dur;89;Allemande;;;;Conc_4619;;
69;D dur;91;Courante;;;;Conc_4620;;
70;D dur;92;Courante;;;;Conc_4621;;
71;D dur;93;Sarabande;;;;Conc_4622;;
72;D dur;94;Gigue;;;;Conc_4623;;
73;D dur;95;Gigue;;;;;;
74;D dur;96;Gavotte;;;;Conc_4624;;
75;D dur;96;Bourée, La Villageoise;;;;Conc_4586;;
;E. Si mi mineur. ;;;;;;;;
76;e moll;97;Allemande grave, Tombeau de Mouton;;;;Conc_4587;;
77;e moll;99;Allemande;;;;Conc_4625;;
78;e moll;101;Courante;;;;Conc_4626;;
79;e moll;102;Sarabande;;;;Conc_4627;;
80;e moll;103;Gigue;;;;Conc_4628;;
81;e moll;104;Gavotte;;;;Conc_4629;;
;F.ut fa mineur. ;;;;;;;;
82;f moll;105;Allemande grave, La plainte;;;;Conc_2544;;
83;f moll;107;Courante;;;;Conc_4630;;
84;f moll;108;Sarabande;;;;Conc_4631;;
85;f moll;109;Gigue;;;;Conc_4606;;
;F.ut fa majeur. ;;;;;;;;
86;F dur;111;Gigue;;;;Conc_4612;;
