PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;Concordances from Brown: Instrumental music printed before 1600;;;;;;
1;;1r;Fantasia;;;cittern;ConcR3083;C;"d1 f f/ h | k1 [ka] [hd] [fd/] [fe] | [eg1] [fea/] e [dbd1] ,,d/ ,,e | \
[eag/] d [eag1] [fed] e/ d |";french4tab
2;;1v;Fantasia;;;cittern;ConcR3082;C;"d1 d/ c a1 ,a | ,,e1 ,c [ka] [ke/] h | [ge1] [ed] [dc/] e [ga] ,c | \
[ed/] [ge] [hg] [kh] [ig] [ki] [ig1] |";french4tab
3a;;2r;Les Bouffons;;;cittern;ConcR829;C;"[daac1] [daac/] d [daac1] d | [acad1] [acad/] a [acad1] a | \
[daac1] [daac/] c [daac1] c/ a | [caca/] a c d [caca1] ,a |";french4tab
_3b;;2r;Autrement;;;cittern;ConcR829;C;"[dbd/] ,,c ,,d ,,e [dbd] ,,a ,,c ,,d | [edea/] d e f [edea1] ,d | \
[dbd/] c d e [dbd] a c d |";french4tab
4a;;2v;Era di magio;;;cittern;ConcR3084;C;"[fede2] [edea1] e | [daab1] d [caca2] | z1 [caca] [daab] e | \
[fede1] ,e/ f [edea1] e | [daab1] c/ a [caca2] :||:";french4tab
_4b;;2v;Autrement;;;cittern;ConcR3085;C;"[fed/] ,,e [fa] ,c [edea/4] d e f [edea/] d/4 c | \
[daab/4] ,,,a ,,,b ,,,d [daab/] ,,,a/4 ,,a";french4tab
5;;3r;Een venus dierken;;;cittern;ConcR932;C;"[daab1] [daab/] c d e | [daab1] d [caca] a/ c | \
[daab/] a c d [edea] d e f | [edea1] e [edea/] c d e |";french4tab
6;;3v;Een amoureux fiereghelate;;;cittern;ConcR931;C;"[daac/] c d e [daac] c a ,a | [acad/] ,a ,c ,d [acad1] a | \
[caca/] a/4 c [daac1] [caca/] ,a a c |";french4tab
7;;3v;Het vvasser te nacht;;;cittern;ConcR929;C;"[daac1] [hgeg3/2] g/ | [edea/] d/4 e [daac/] c/4 a [caca] d e d a/ c | \
[daac/] c d e [daac1] d |";french4tab
8;;4r;Vreucht es ons toeghecomen;;;cittern;;C;"[daac1] [fede/] e f h | [fede/] k h f [edea] d e f | \
[edea1] [fede] [edea/] d [dbd1] |";french4tab
9;;4v;Ick segge adieu;;;cittern;;C;"[daac2] [edea/] g h e | [geae1] g [hge/] ,,h ,,i ,,,i | \
[geae1] [geae/] e/4 d [caca/] a c d |";french4tab
10;;5r;Ick hadde een ghestadich minneken;;;cittern;;C;"[daac1] [daac/] e d b | [acad/] a/4 c d/ a [bdca] d [bdca] a | \
[,aca1] [fede] [edea/] d/4 e [daac/] c/4 a |";french4tab
11;;5v;Te mey als alle die voghelkens singhen;;;cittern;ConcR930;3;"[daac1] | [daac1] c d/ e | [fede1] f/ ,e [fede1] | \
[edea3/2] e/4 d c/ a | [,aca1] ,a/ ,,c [,aca1] |";french4tab
12;;6r;Een schilderken fraey;;;cittern;;C;"[daab1] [daab3/2] d/ | [edea/] d/4 c d c d e [gege/] e g h | \
[gege1] g |:| [gege/] e/4 d e/ g [hgeg1] g/ e |";french4tab
13;;6r;En het vvas een aerdich vrouken;;;cittern;;C;"[kagi2] [hgeg1] g/ e | [daac/] c d e [gege1] e/ d | \
[kagi1] h/ k [hgeg1] g/ e |";french4tab
14;;6v;Het sadt een schipperken op sijn schip;;;cittern;;C;"[daac1] [daac/] d [caca1] [fede] | [fede/] f [edea1] [fede] f | \
[daac/] c d e [daac1] [fede] | [edea/] c d e [fede1] ,,d :||:";french4tab
15;;6v;Een meysken op een ryuierken sadt;;;cittern;;3;"[daac1] [daac] d | [kagi1] [kagi] h | [kagi1] [hgeg] [fede] | \
[edea1] [daac] [kagi] | [kagi1] [hgeg] [fede] | \
[edea1] ,d [edea] :||:";french4tab
16;;7r;Wijsheyt edel vrouwe;;;cittern;;C;"[daac1] [daac/] e f h | [kagi1] [ngg] [mee/] h [khk1] | \
[igia/] k m i [kagi] ,a [kagi] k :||: \
z1 [kagi1] [fede/] [hgege] [kigi] [fede] |";french4tab
17;;7r;O edel bloem der vrouvven;;;cittern;;C;"[gege1] [hgeg3/2] g/ | [edea1] [daac] [caca/] a c d | \
[edea1] [geg] [edea/] d [daac] e/4 g | [edea/4] d c a";french4tab
18;;7v;La bella franciskina;;;cittern;;C;"[daac1] e [geae] g | [geae1] h [geae] d/ e | \
[geae/] g [geae] g [geae] d e g |";french4tab
19;;7v;Le souffre passion;;;cittern;;C;"[geae1] [geae/] g [geae] g | [geae1] [kaak] [hgeg] h [gege] e/4 d | \
[edea1] e :||: z1 [edea1] [edea/] d e g |";french4tab
20;;8r;Robin c'est un galland;;;cittern;ConcR3086;C;"[geae1] [geae/] g [geae] g | [geae1] g [geae/] d e g | \
[hgeg1] g [edea/] e [edea] e |";french4tab
21;;8r;Valla de la roma;;;cittern;;3;"[kagi1] [kagi] [kagi/] h | [geae3/2] e/ [daac1] | \
[kagi1] [kagi/] i g k | [igia3/2] i/ ,,,a1 | \
[kagi1] k/ ,a [kagi1] |";french4tab
22;;8v;Si pay me ou non;;;cittern;;C;"[gege1] | [geag/] e g h [gege3/2] g/ | \
[gege1] [daac/] e [gege] d e g | [hgeg1] [hgeg/] k [hgeg1] g |";french4tab
23;;9r;Ie sonne la retraicte;;;cittern;;C;"[daac1] [daac/] c d e | [daac1] [edea] z [edea] | \
[caca1] c z [daac] | \
[daac/4] c d e [daac/] c [daac] c/4 d [eded1] |";french4tab
24;;9v;En fut il oncque;;;cittern;ConcR2966;C;"[khak2] [khak1] [kggi] | [khak/] ,,c ,,d ,,e [kggi1] [fede] | \
[fede1] [fede] [hgeg] [kagi] | [igia/] k m i [kagi1] ,,g |";french4tab
25;;10r;Un advocat dist a sa femma;;;cittern;ConcR2969;C;"[daac2] [aeed1] [aeed] | [edea/4] d e g [edea/] e [hgeg] ,,g ,,i ,,,i | \
[gege1] [edea] [edea/] d/4 e [daac/] c/4 d |";french4tab
26;;10v;Ick sach vrou venus burseken;;;cittern;;C;"[daac1] [daac] [eded] | [gege1] e/ g [hgeg1] ,,e/ h | \
[geae1] e/ d [edea1] [caca1] | [daac1] ,a [daac] [daac/] e |";french4tab
27;;11r;Den lusteleken mey;;;cittern;;C;"[daac1] [daac/] c/4 a c a c d | \
[edea/] d [edea/4] d e g [hgeg/] e g h |";french4tab
28;;11v;Voor ia qui tu me canta;;Vorrei che tu cantassi;cittern;ConcR1541;C;"[geae2] [daac1] [aeed/] | [caca/] d [edea1] [daac/4] c d e [geae1] | \
[edea/] [daac1] [caca/] [daac1] :||: \
[geae1] [edea/] g [hgeg] e |";french4tab
29;;12r;Ma man ia;;;cittern;;C;"[daa/] e [geae] ,,a [geae] g | [edea/] ,d [edea] [daac] [caca] d ,,c c | \
[daac2] :||: [daac/] ,a [edea] g [hgeg] ,,e [hge] h |";french4tab
30;;12v;La pastorella mia;;;cittern;ConcR2965;C;"[daa1] [daa] [aeed] | [caca/4] a c d [caca/] a/4 c [daac1] [daac] | \
z1 [edea] [edea] [edea] | [daac/] c/4 d [caca/] a/4 c";french4tab
31;;13v;Languyr me fais;;;cittern;ConcR200;C;"[daac/] e g e [daac/4] c d e [daac] c a ,a | \
[aeed/4] ,a ,c ,d ,c/ ,d [daac] h/4 g e d c a |";french4tab
32;;14v;Tant que vivray;;;cittern;ConcR854;C;"[kaak/] h k m [kaak1] h | [geae/] e g h [geae1] [geae/] e/4 d | \
[edea1] [kagi] [igia/] k g i |";french4tab
33;;15r;Pis ne me peult venir;;;cittern;ConcR1786;C;"[daab/] e [feae/4] e f h [feae/] e | [feae1] [fede] [edea/] [eaac] [edea] [fede] | \
[edea/] d/4 e [fede1] [edea/] d [dbd] ,,,d |";french4tab
