PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
1;;A4r;1. Praeambulum;;;OT;ConcR1100;C;"[da,c,a2] [da,c,a1] [da,c,a] | [ca,,c1] [,da,c] [abb,d/] c d a | \
[cdda/] a [aabc1] [abd,a] [,ea,c] | \
[aab,,a1] [ha,f] [f,a] [c,,a] |";germantab
2;;A4v;2. Praeambulum;;;OT;;C;",a2 ,a1 ,a | ,a/ ,,e/4 ,a ,c ,a ,,e ,a [ac] ,a ,c ,d ,c/ ,a | \
[ac/] ,a [a,d] ,,c";germantab
3;;B1r;3. Phantasia;;;OT;ConcR2709;C;",d2 ,d/ ,d b ,d b d | f/ ,,d f ,,d [f,g] ,,,h [f,g] ,,i | \
,f/ d d ,f";germantab
4;;B1v;4. Phantasia;;;OT;;C;,d2 c/ a/4 c d a c d | f1 ,,d [fc/] ,a/4 ,c ,d ,c ,a ,c |;germantab
5;;B2r;5. Beware mich Herr;;;OT;ConcR1228;C;"[aacc2] [aacc/] ,,d/4 ,,c ,,d ,,c ,,a ,,c | \
[,cdea/] ,,d/4 ,a ,c ,,d ,a ,c [,aabc/] ,,,c ,,,b";germantab
6;;B2v;6. Gott ist mein licht;;;OT;ConcR850 - ConcM45;C;",a3/4 ,,d/4 ,a ,,d ,a ,c [,df] a c ,d [a,,c] ,c,d a | \
[ca,,c3/4] ,,,,a/4 ,,,,c ,,,,a ,,,,c ,,,,e";germantab
7;;B3v;7. Was wird es doch;;;OT;ConcR2019;C;"[,dda/] ,c ,a/4 ,,d ,a ,c [,d,ac/] a c/4 a c d | \
[cdda/] a/4 c [a,,,e/] [,d,,c]";germantab
8;;B4r;8. Zarth freundtlichs M.;;;OT;;C;"[,dda1] | [,dda/4] ,b ,d a b a b/8 a b d [fdda1] [fdda] | \
[fdd/] ,,,d [dabc1] [bdda/] a/4 b";germantab
9;;B4v;9. Le content est riche B.D.D.;;;OT;ConcR235;C;",d/ a b d [fd] d f/4 d f g | \
f/ ,,d [da] b [ab] ,,d/4 ,a ,b ,d a b |";germantab
10;;C1r;10. Cest à grand tort;;;OT;ConcR1757;C;"[,dda1] [,dda/4] ,c ,d a [c,da] a c d [f,,a1] | \
[,d,,c1] [dab,,d] [,,da/4] d c a d c d/8 c a c |";germantab
11;;C1v;11. La battaglia;;;OT;ConcR3389;C;"[fdaa/] e f h [fdaa1] [fdaa] | [cdda/] a c/4 a c d [cdda1] [dab,,d] | \
[dab,,d1] d/ c [aab,,d] ,d";germantab
12;;C2r;12. Languir me fais;;;OT;ConcR200;C;"[,dda/] ,c ,d a [,dda] ,c ,d/4 ,c ,a ,,d | \
[,aba,d/] ,,,,,c ,,,,,d ,,,,a [,aaac/] ,c/4 ,d a ,d ,c ,a |";germantab
13;;C2v;13. Doulce memoire;;;OT;ConcR856;C;"[,dfec/4] ,c ,d ,f c ,f ,d ,c \
[,dfec] ,c ,,f ,,d ,,f ,c ,d/8 ,c ,d ,f |";germantab
14;;C3v;14. Quanto è madonna mia;;;OT;ConcR1542;C;"[cc,e3/2] c/ [cdf] a c/4 a c d | [cdf1] [cce] [cdf] ,,,e/ [ccd] | \
[aab/] c [dab/4] c d a";germantab
15;;C4r;15. Si pour ti guardo;;;OT;ConcR195;C;"[,,def2] [,dff,d1] [,ddef] | [,cdca/] ,a/4 ,c [,ddef1] z/ [cdda] [cdda] [cdda] | \
[acd,a1] [c,da/4] ,d a c [,dff,d3/2] [,dff,d/] |";germantab
16;;C4v;16. D'amour me plains;;;OT;ConcR1688;C;",d/ ,c/4 ,d a/8 ,d ,c ,a ,,d ,a ,c ,d \
[a,d/4] ,,b ,,d ,a ,,d ,,b ,,a ,,,c |";germantab
17;;D1v;17. Ung gay bergier G.M.;;;OT;ConcR857;C;",d1 ,d/ ,d [a,d] ,d [a,d] c | [da/] ,,d [da] ,b [,cd1] [,d,a/] ,,,a | \
[ab,ca/] ,,,a [,,,ca] ,,a [,ab,c] ,,,,a [,,b,c] ,,,,d |";germantab
18;;D2r;18. Ie prens engrè;;;OT;ConcR1358;C;"[,ddef2] [,dfec1] [acbc] | [cdda/] a c/4 a c d [cdda1] [ffg,a] | \
[dfg,d/] ,g ,f ,d [dfg,d1] [cdda] |";germantab
19;;D2v;19. O sio potessi donna;;;OT;ConcR868;C;"[hd,f,d3/2] h/ [hd,f,d] ,,d ,,f/4 ,,d ,,f ,,g | \
,,,a/ [fda] [fda] ,,,a [da,c/4] a c d [ca,ac1] |";germantab
20;;D3v;20. Frisque & gailliard;;;OT;ConcR1758;C;",,,,c1 ,,,,c/ ,,,,c ,,,c/4 ,,,b ,,,c ,,a ,,,c/ ,,,,c | \
,,,c/4 ,,,b ,,,c ,,a [,,cc/] ,,a ,,,c/8 ,,a ,,c ,,d [,,c,c/]";germantab
21;;D4v;21. Quand'io pense;;;OT;ConcR1327;C;"[aa,c1] c/8 a ,e ,c ,a ,c ,e a \
[acd/] ,,a/4 ,,c ,,d ,a ,c/8 ,a ,c ,d |";germantab
22;;E1v;22. Susanne ung iour;;;OT;ConcR860;C;"a/4 c d c d c d/8 c a f d1 a | \
[db/4] a c d [f,d] c d f [hf1] ,,,,h |";germantab
23a;;E3r;23. Dum transisset Sabbathum - Prima Pars (Christian: Plate);;;OT;ConcR2261;C;"a2 a/4 ,d ,c ,a ,,d ,a ,c ,d | a1 a c/ a/4 c e c a ,d | \
[a,d2] ,,d1 [a,d] |";germantab
23b;;E4v;Et valde mande. Secunda Pars;;;OT;ConcR2262;C;"a2 a1 a | c1 a/4 ,d ,c ,a [,cd2] | \
,,d/4 a c e [f,d1] [ca] [f,d] | ,,f/ f e c";germantab
