PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Incipits prepared with the help of Sarge Gerbode's transcriptions on his website;;;;;;;
1;;A1r;1. Tanz;;;OT;;C;"[aabc/] ,,a ,,b ,,d ,a ,b ,d a | [caa,c/] a c d [caa,c1] [dab,,d] | \
[cdda2] [,abc1] a | [caa,c1] ,d/ a [caa1] ,,,,c :|";germantab
2;;A1r;Sprung;;;OT;;3;"[aabc/] ,,d ,a ,c ,d a | [caa,c1] a/ c [dab,,d1] | \
[cdda1] [cdd] [aabc] | [caa,c1] ,d/ a [caa,c1] :|";germantab
3;;A1r;1. Tanz;;;OT;;C;"[,,d,a1] [,a,,d/] ,b ,d ,b ,a ,,d | [,acc,a1] ,,,c [,acc,a] [abb,d] | \
[,db,c1] ,,,,,d [,bd,a] ,a/ ,,d | \
[,acc,a1] ,,,c ,,,,,a [,acc] :|";germantab
4;;A1r;Sprung;;;OT;;3;"[,,d,a/] ,,c ,,d ,a ,b ,,d | [,acc,a1] ,,,c [abb,d] | \
[,db,c1] ,,,,,d [,bd,d] | [,acc,a1] ,,,c [,acc,a] :|";germantab
5;;A1v;2. Tanz;;;OT;;C;"[aac,,a1] [aac] [caa,c] a/ c | [ea,c,a1] c/ a [caa,c1] [ea,c,a] | \
[ccd,,c1] [aac,,e] ,,,,a [ca,bc] | \
[aac,,a1] ,,,c/ ,,d ,,c ,,a [aac,,a1] :|";germantab
6;;A1v;Sprung;;;OT;;3;"[aac,,a1] [aac] [caa,c] | [ea,c,a1] c/ a [ca,,c] e | \
[ccd,,c1] [aac,,e/] ,,,,a [,ea,c1] | \
[aac,,a1] ,,,c/ ,,d [aac,,a1] :| [fcd,a1] [fcd] [caa,c] |";germantab
7;;A1v;2. Tanz;;;OT;;C;"[,,dca1] [,,dc] [,acc,a] [,acc] | [,cdca1] ,a/ ,,d [,acc,a1] [ac,,a] | \
[,da,c1] ,a/ ,,d [,acc,a] ,,d ,a ,,c | \
[,cdca2] [,cdc1] ,,,,a :|";germantab
8;;A2r;Sprung;;;OT;;3;"[,,dca1] [,,dc] [,acc,a] | [,cdca1] ,a/ ,,d [,acc,a] ,c | \
[,da,c1] ,a/ ,,d [,acc,a1] | [,cdca3/2] [,cdc/] ,,,,a1 :| \
[,dda1] [,dd] [,acc,a] |";germantab
9;;A2r;3. Tanz;;;OT;;C;"[,dda/] ,c ,d a [,dda1] f | [caa,c/] a c d [caa,c1] a/ ,d | \
[acd,a/] ,a ,c ,d a ,d ,c ,a |";germantab
10;;A2r;Sprung;;;OT;;3;"[,dda1] [,dd] f | [caa,c1] a/ ,d ,c ,a | \
[acd,a/] H,a ,c/ ,d a ,d | [acd,a1] ,,,c [acd,a] |";germantab
11;;A2r;3. Tanz;;;OT;;C;"[,aba,d2] [,aba1] ,,,,,d | [,abc,a2] [,abc,a] | \
[,ddef2] [,dde1] ,,,,e |";germantab
12;;A2r;Sprung;;;OT;;3;"[,aba,d3/2] [,aba/] ,,,,,d1 | [,abc,a2] [,abc,a1] | \
[,ddef1] [,dde] ,,,,e |";germantab
13;;A2v;4. Tanz;;;OT;;C;"[fhi,f/] ,i ,h ,f [,hi,f] ,i f ,h | \
[hiif/] f h i [h,if1] [fhi,f/] i |[h,if1] [dabc] [,dda] c |";germantab
14;;A2v;Sprung;;;OT;;3;"[fhi,f/] ,i ,h ,i [f,i,f] ,h | [hiif1] [hii] [fhi,f/] i | \
[h,if1] [dabc] [c,da] | [dab,,d1] ,,,a [dab,,d] :|";germantab
15;;A2v;4. Tanz;;;OT;;D;"[,aba,d2] [,aba1] ,,,,,d | [,bbcd2] [,bbcd] | \
[,,b,d1] [,b,c] ,,,a ,a |";germantab
