PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;14 Stücke für 2 Lauten - der Diskant einen Ton höher gestimmt, also in a.;14 Pieces for two lutes, the discant one tone higher tuned, in a.;;;;
1;G dur;x01;I. Amor é gratioso;;;;ConcR1795;;;germantab
2;G dur;x02;II. Canti di uoi le lodi;;;;ConcR1815;;;germantab
3;G dur;x03;III. Ma che gioua ha uer fedeli amanti.;;;;;;;germantab
4;C dur;x04;IV. Quel si graue dolore.;;;;;;;germantab
5a;G dur;x05;V. Pass'emezo Comun.;;;;ConcR1797;;;germantab
5b;G dur;x06;VI. Il suo saltarello.;;;;ConcR1819;;;germantab
6;G dur;x07;VII. Padouana comun.;;;;;;;germantab
7;G dur;x08;VIII. Dismonta del cauallo.;;;;ConcR3199;;;germantab
8;G dur;x09;IX. La fantina.;;;;ConcR3201;;;germantab
9a;a moll;x10;X. Passèmezo antiquo.;;;;;;;germantab
9b;a moll;x11;XI. Saltarello antiquo.;;;;;;;germantab
10;d moll;x12;XII. Gentil madonna, Padouana.;;cf.  Pacoloni1564 / III.14r;;;;;germantab
11;G dur;x13;XIII. Santo Herculano. Padouana.;;;;;;;germantab
12;g moll;x14;XIIII. La traditora, Saltarello.;;cf.  Pacoloni1564 / III.16v;;;;;germantab
;;;;;Stücke für 2 Lauten, bei denen der Discant eine Quart höher gestimmt wird, also in c.;Pieces for 2 lutes - the dicant one forth higher tuned, in c.;;;;
13;B dur;x15;XV. Il bianco e dolce cigno.;;;;ConcR3229;;;germantab
14;B dur;x16;XVI. Non ch'io non uoglio.;;;;ConcR3231;;;germantab
15;B dur;x17;XVII. Pongente dardo.;;;;ConcR3233;;;germantab
16a;g moll;x18;XVIII. Pass'emezo.;;;;ConcR3203;;;germantab
16b;g moll;x19;XIX. Il suo saltarello.;;;;ConcR3204;;;germantab
17a;F dur;x20;XX. Pass'emezo.;;;;ConcR3205;;;germantab
17b;F dur;x21;XXI. Il suo saltarello.;;;;ConcR3207;;;germantab
18;C dur;x22;XXII. La gamba.;;;;ConcR3209;;;germantab
19;f moll;x23;XXIII. Le forze de Ercule.;;;;ConcR3211;;;germantab
20;c moll;x24;XXIIII. Hilf Herr Gott.;;;;ConcR1988;;;germantab
21;B dur;x25;XXV. Ach Jupiter.;;;;ConcR2269;;;germantab
22;B dur;x26;XXVI. Was wirt esz doch.;;;;ConcR2019;;;germantab
23;F dur;x27;XXVII. Der Bentzenauwer dantz;;3er Takt ? Bentzenauer?;;;;;germantab
24;F dur;x28;XXVIII. Der schwa[r]tzknab dantz.;;;;ConcR2031;;;germantab
25a;F dur;x29;XXIX. Dantz.;;;;ConcR3237;;;germantab
25b;F dur;x30;XXX. Hupff auff.;;;;ConcR3238;;;germantab
26;Eb dur;x31;XXXI. Il Estoit une fillete.;;;;ConcR1728;;;germantab
27;c moll;x32;XXXII. Or combien est.;;;;ConcR1725;;;germantab
28;B dur;x33;XXXIII. Pauana.;;;;ConcR3239;;;germantab
29;F dur;x34;XXXIIII. Les Bouffons.;;;;ConcR3213;;;germantab
