PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Sonata I;;;;;;;
1;G dur;1;Preludio;;;OT;;3/4;",,,,,a/ ,,,,c ,,,c ,,c ,a a | ,a/ ,,c ,,,c ,,,,,a (,c/4 ,a) (,,d ,,c) | \
,,d/ (,,,,,c/4 ,,,,,a) {a}/ (,c ,a) ,,d |";italian7tab
2;G dur;2;Alemanda;;;OT;;C;"a/ | [aacc1] ,,,,,a3/4 ,d/4 ([,ca{a}1] ,a3/4) ,,a/4 | \
[,,a{9}/] ,,c ,,d ,a [,c(d,,a1] [,,c)3/4] e/4 | \
[ca,,,e1] a3/4 ,e/4 [ae,,a1] ,d3/4 ,a/4 |";italian7tab
3;G dur;3;Currente;;;OT;;3/4;"a/ | [aacc1] ,,,,,a/ ,a (,c/4 ,a ,c ,e) | \
a/ ,a ,,c a (c/4 a) (c e) | [c{a}/] ,e ,a c";italian7tab
4;G dur;4;Sarabanda Largo;;;OT;;3/4;"[ha,,,a1] a3/4 c/4 e3/4 f/4 | ([ea{a}1] c/) c (h e) | \
[a{8}/] ,e a (e/4 c) (c a) ,e a |";italian7tab
5;G dur;5;Minuet;;;OT;;3/4;"[a,,,,a/] c [c{a}3/2] a/4 c | [e,,,,a1] a h | \
[f,h1] [e,f3/2] f/ | ([e,d1] c) [a,c] | \
[,e,e/] a [a,,,,a3/2] ,e/4 a |";italian7tab
;;;Sonata 2a;;;;;;;
6;D dur;5;Alemanda;;;OT;;C;",a | [,aabc2] {9}/ e [c,,,b] a | [,e{9}1] [a{8}] [ca{a}/] e [a,,,,a] ,e | \
([,e,,,c1] ,c/) ,,,,,a {a} ,,a ,a ,e |";italian7tab
7;D dur;6;Current;;;OT;;3/4;",a/ | [,aabc1] ,a/ ,c ,e a | c1 ,e ,a | e1 ,,,,,a/ ,,,,,c ,,,,,e ,,,,b | \
([e,,,c1] c) e |";italian7tab
8;D dur;7;Sarabanda Largo;;;OT;;3/4;",a/ ,,,,c [,aab] ,,,e ,,,b [,a,,c] | \
,c/ ,,,,,c [,ca,b] ,,,,e ,,,,b [,c,,,c] | \
,e/ ,,,,c [,aab] ,,,e ,,,b [,e,,c] |";italian7tab
9;D dur;7;Giga;;;OT;;3;",a| [,aabc3/2] {9}1 ,a/ | ,e/ ,a ,e c ,e c | \
h3/2 ,,,,c/ ,e ,a | [,c,,c/] ,e a ,,,,b c a |";italian7tab
;;;Sonata 3a;;;;;;;
10;G dur;8;Alem:;;;OT;;C;"a/ | [aacc1] ,,,,c ,,,,,a3/4 a/4 c3/4 e/4 | \
c1 {a} {9}3/4 c/4 e3/4 f/4 | \
[ea{13}3/4] e/4 f3/4 h/4 [f{12}3/4] f/4 h3/4 k/4 |";italian7tab
11;G dur;9;Giga;;;OT;;3;"a/ | [aacc3/2] ,,,,,a1 a/ | (e/ c a) [e{a}] f h) | \
[a{8}/] ,e a [a,,,,e] ,a a |";italian7tab
12;G dur;10;Sarabanda Andante;;;OT;;3;"[,ac,,a/] {a} [,ac,,a] ,,,,,c [,a,,,e] [,c,,a] | \
[,,acc/] ,,,,a [,,abc] ,,,,e [,aab] [,,c,c] | \
[,,a,e/] ,,,,c [,,,ce] ,,,,c [,c,,b] [,,,c,c] |";italian7tab
13;G dur;10;Fuga;;;OT;;C;"h3/2 h/ k3/2 e/ | f/ ,h h f [ef] h f [ef] | \
[fh/] e f [ac] [cd] ,a [ef] ,d |";italian7tab
;;;Sonata 4a;;;;;;;
14;A dur;12;Alemanda Ada:;;;OT;Conc_2573;C;",,a/ | [,cae1] ,,e/ ,,a [,ace3/2] ,,e/ | \
[,acd3/4] ,e/4 ,c3/4 ,a/4 [,,e,,c1] ,a ""Arpe°""[,a,,,e3/4] ,,e/8 ,a | \
[,c,,b1] ,e/ [,a{9}/4] ,,e";italian7tab
15;A dur;13;Current;;;OT;Conc_2574;3;"c/ | [ccee1] ,,,,,c/ ,c ,e b | c/ ,,a ,,c b ,,e c | \
[e,f3/2] e/ [c,e] c | [b,c/] b [c,a] c [e,,d] g |";italian7tab
16;A dur;14;Sarabanda;;;OT;;3;",e/ [,c,d3/4] ,a/4 | [,,ee/] ,c ,,a ,,e ,,c3/4 ,,a/4 | \
[,,cd/] ,c ,,,,e ,,c ,,e ,,c | [,,a{a}/] ,e ,,,,d ,,a ,,c ,,a |";italian7tab
17;A dur;15;Minuet;;;OT;Conc_2575;3;",,a/ ,,c ,,c3/2 ,,a/4 ,,c | [,,e,,c/] ,a [,a,,,e3/2] ,,e/4 ,a | \
[,c,,b/] ,e [,a{9}3/2] ,,e/ | [,,c{8}/] (,,a ,,c ,,e) ,,c1 |";italian7tab
;;;Sonata 5a;;;;;;;
18;G dur;15;Alemanda;;;OT;;C;"h/ | [ha{13}1] {12}/ ,e [a{11}] h [k{10}] ,f | \
[,e{9}1] [a{8}] {11}/ ,a a ,,c | \
([,,d{12}/] ,,c) ,,d c ([,,d{9}] ,,c) ,,d c |";italian7tab
19;G dur;16;Current;;;OT;;3;"a/ | [aacc1] ,,,,,a/ ,a a ,e | a/ ,a ,,c ,,,c ,,,,,e ,,,,c | \
,,,,,a3/2 a/ c e |[c{a}/] ,e ,a c e f |";italian7tab
